Ticker,Name,Sector
AEE,AMEREN CORP,Utilities
AEP,AMERICAN ELECTRIC POWER INC,Utilities
AES,AES CORP,Utilities
APA,APACHE CORP,Energy
ATO,ATMOS ENERGY CORP,Utilities
AWK,AMERICAN WATER WORKS INC,Utilities
BKR,BAKER HUGHES CLASS A,Energy
CMS,CMS ENERGY CORP,Utilities
CNP,CENTERPOINT ENERGY INC,Utilities
COG,CABOT OIL & GAS CORP,Energy
COP,CONOCOPHILLIPS,Energy
CVX,CHEVRON CORP,Energy
D,DOMINION ENERGY INC,Utilities
DTE,DTE ENERGY,Utilities
DUK,DUKE ENERGY CORP,Utilities
DVN,DEVON ENERGY CORP,Energy
ED,CONSOLIDATED EDISON INC,Utilities
EIX,EDISON INTERNATIONAL,Utilities
EOG,EOG RESOURCES INC,Energy
ES,EVERSOURCE ENERGY,Utilities
ETR,ENTERGY CORP,Utilities
EVRG,EVERGY INC,Utilities
EXC,EXELON CORP,Utilities
FANG,DIAMONDBACK ENERGY INC,Energy
FE,FIRSTENERGY CORP,Utilities
FTI,TECHNIPFMC PLC,Energy
HAL,HALLIBURTON,Energy
HES,HESS CORP,Energy
HFC,HOLLYFRONTIER CORP,Energy
KMI,KINDER MORGAN INC,Energy
LNT,ALLIANT ENERGY CORP,Utilities
MPC,MARATHON PETROLEUM CORP,Energy
MRO,MARATHON OIL CORP,Energy
NEE,NEXTERA ENERGY INC,Utilities
NI,NISOURCE INC,Utilities
NOV,NOV INC,Energy
NRG,NRG ENERGY INC,Utilities
OKE,ONEOK INC,Energy
OXY,OCCIDENTAL PETROLEUM CORP,Energy
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities
PNW,PINNACLE WEST CORP,Utilities
PPL,PPL CORP,Utilities
PSX,PHILLIPS,Energy
PXD,PIONEER NATURAL RESOURCE,Energy
SLB,SCHLUMBERGER NV,Energy
SO,SOUTHERN,Utilities
SRE,SEMPRA ENERGY,Utilities
VLO,VALERO ENERGY CORP,Energy
WEC,WEC ENERGY GROUP INC,Utilities
WMB,WILLIAMS INC,Energy
XEL,XCEL ENERGY INC,Utilities
XOM,EXXON MOBIL CORP,Energy