ISIN,CompanyName,Country
GB00BDCPN049,COCA-COLA EUROPEAN PARTNERS PLC,United Kingdom
KYG9829N1025,XINYI SOLAR HOLDINGS LTD,China
JP3733400000,NIPPON ELECTRIC GLASS CO LTD,Japan
TW0005347009,VANGUARD INTERNATIONAL SEMICONDUCTOR CORPORATION,Taiwan
TW0003623005,Transtouch Technology Inc.,Taiwan
TW0003049003,SINTEK PHOTRONIC CORPORATION,Taiwan
US6821891057,ON SEMICONDUCTOR CORPORATION,United States
TW0002368008,GOLD CIRCUIT ELECTRONICS LTD,Taiwan
TW0003532008,FORMOSA SUMCO TECHNOLOGY CORPORATION,Taiwan
TW0002303005,UNITED MICRO ELECTRONICS CORPORATION,Taiwan
TW0008110008,WALTON ADVANCED ENGINEERING INC,Taiwan
KR7000990002,DB HITEK CO LTD,South Korea
TW0008131004,"FORMOSA ADVANCED TECHNOLOGIES CO., LTD.",Taiwan
TW0003044004,TRIPOD TECHNOLOGY CORP,Taiwan
TW0003481008,INNOLUX CORP,Taiwan
KYG5257K1076,KINGBOARD LAMINATES HOLDINGS LTD,Hong Kong
TW0002313004,COMPEQ MANUFACTURING COMPANY LIMITED,Taiwan
KR7034220004,LG DISPLAY COMPANY LIMITED,South Korea
TW0002337003,MACRONIX INTERNATIONAL COMPANY LIMITED,Taiwan
TW0008150004,CHIPMOS TECHNOLOGIES INC,Taiwan
TW0002409000,AU OPTRONICS CORPORATION,Taiwan
TW0002449006,KING YUAN ELECTRONICS COMPANY LIMITED,Taiwan
TW0003037008,UNIMICRON TECHNOLOGY CORP,Taiwan
TW0003264008,ARDENTEC CORPORATION,Taiwan
JP3661800007,NICHICON CORPORATION,Japan
JP3148800000,IBIDEN CO LTD,Japan
TW0006488000,GLOBALWAFERS CO LTD,Taiwan
TW0003189007,KINSUS INTERCONNECT TECHNOLOGY CORP,Taiwan
JP3322930003,SUMCO CORPORATION,Japan
TW0002330008,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED,Taiwan
TW0003105003,WIN SEMICONDUCTORS CORPORATION,Taiwan
TW0006147002,CHIPBOND TECHNOLOGY CORP,Taiwan
TW0002344009,WINBOND ELECTRONICS CORPORATION,Taiwan
TW0002492006,WALSIN TECHNOLOGY CORP,Taiwan
TW0004919006,NUVOTON TECHNOLOGY CORPORATION,Taiwan
KR7009150004,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",South Korea
TW0006257009,SIGURD MICROELECTRONICS CORP.,Taiwan
JP3452000007,TAIYO YUDEN CO LTD,Japan
KYG989221000,ZHEN DING TECHNOLOGY HOLDING LIMITED,Taiwan
TW0006239007,POWERTECH TECHNOLOGY,Taiwan
JP3982800009,ROHM CO LTD,Japan
US3364331070,"FIRST SOLAR, INC.",United States
TW0002329000,ORIENT SEMICONDUCTOR ELECTRONICS LIMITED,Taiwan
TW0002393006,EVERLIGHT ELECTRONICS CO LTD,Taiwan
KR7006400006,SAMSUNG SDI COMPANY LIMITED,South Korea
NL0009538784,NXP SEMICONDUCTORS NV,Netherlands
JP3538800008,TDK CORPORATION,Japan
JP3164720009,RENESAS ELECTRONICS CORPORATION,Japan
TW0003711008,"ASE Technology Holding Co., Ltd.",Taiwan
JP3375800004,SHINKO ELECTRIC INDUSTRIES CO LIMITED,Japan
TW0004979000,LuxNet Corporation,Taiwan
JP3389660006,JAPAN DISPLAY INC,Japan
KYG898431096,TPK HOLDING COMPANY LIMITED,Taiwan
JP3914400001,MURATA MANUFACTURING CO LIMITED,Japan
US8676524064,SUNPOWER CORPORATION,United States
TW0004960000,CHENG MEI MATERIALS TECHNOLOGY CORP,Taiwan
TW0008069006,E INK HOLDINGS INCORPORATED,Taiwan
KR7008060006,"Daeduck Co.,Ltd.",South Korea
JP3432400004,"Soshin Electric Co.,Ltd.",Japan
TW0006176001,RADIANT OPTO ELECTRONICS CORP,Taiwan
JP3249600002,KYOCERA CORPORATION,Japan
TW0003042008,TXC CORPORATION,Taiwan
KYG8586D1097,SUNNY OPTICAL TECHNOLOGY (GROUP) COMPANY LIMITED,China
JP3705600009,JAPAN AVIATION ELECTRONICS INDUSTRY LIMITED,Japan
TW0003094009,"Davicom Semiconductor, Inc.",Taiwan
KR7011070000,LG INNOTEK COMPANY LIMITED,South Korea
JP3126400005,ALPS ALPINE CO LTD,Japan
JP3548600000,DISCO CORPORATION,Japan
TW0003211009,DYNAPACK INTERNATIONAL TECHNOLOGY CORPORATION,Taiwan
TW0002308004,"DELTA ELECTRONICS, INC.",Taiwan
JP3197800000,OMRON CORPORATION,Japan
TW0005351001,ETRON TECHNOLOGY INC,Taiwan
TW0005483002,SINO-AMERICAN SILICON PRODUCTS INC,Taiwan
NL0000334118,ASM INTERNATIONAL NV,Netherlands
JP3571400005,TOKYO ELECTRON LTD,Japan
JP3494600004,SCREEN HOLDINGS CO LTD,Japan
CH0108503795,MEYER BURGER TECHNOLOGY AG,Switzerland
JP3122400009,ADVANTEST CORPORATION,Japan
JP3799000009,HIROSE ELECTRIC CO LTD,Japan
KR7009440009,"KC Green Holdings Co., Ltd.",South Korea
KYG4935G1091,IPE Group Limited,Hong Kong
TRAANACM91F7,ANADOLU CAM SANAYII A.S.,Turkey
GB00B3FLWH99,BODYCOTE PLC,United Kingdom
US3976241071,"GREIF, INC.",United States
US08579W1036,BERRY GLOBAL GROUP INC,United States
IT0000076502,DANIELI & C. OFFICINE MECCANICHE S.P.A.,Italy
GB0006027295,MORGAN ADVANCED MATERIALS PLC,United Kingdom
JP3695200000,NGK INSULATORS LTD,Japan
JP3613400005,TOYO SEIKAN GROUP HOLDINGS LTD,Japan
GB00B82YXW83,VESUVIUS PLC,United Kingdom
TW0002049004,HIWIN TECHNOLOGIES CORP.,Taiwan
TW0009907006,TON YI INDUSTRIAL CORPORATION,Taiwan
TW0001323004,"Yonyu Plastics Co., Ltd.",Taiwan
SE0000114837,TRELLEBORG AB (PUBL.),Sweden
JP3270000007,KURITA WATER INDUSTRIES LIMITED,Japan
JP3720800006,NSK LTD.,Japan
JP3721400004,JAPAN STEEL WORKS LIMITED (THE),Japan
CH0001752309,GEORG FISCHER AG,Switzerland
JP3165600002,NTN CORPORATION,Japan
NL0000852564,AALBERTS NV,Netherlands
CH0030486770,DAETWYLER HOLDING AG,Switzerland
US45073V1089,ITT INCORPORATION,United States
JP3906000009,MINEBEA MITSUMI INC,Japan
PTCOR0AE0006,"CORTICEIRA AMORIM, SOCIEDADE GESTORA DE PARTICIPACOES SOCIAIS, S.A.",Portugal
JP3763000001,NORITAKE CO LTD,Japan
TW0002059003,KING SLIDE WORKS CO LTD,Taiwan
DE000A1H8BV3,NORMA GROUP SE,Germany
DE0007314007,HEIDELBERGER DRUCKMASCHINEN AG,Germany
JP3170800001,OSG CORPORATION,Japan
JP3919800007,MEIDENSHA CORPORATION,Japan
JP3405400007,SUMITOMO HEAVY INDUSTRIES LTD,Japan
JP3134800006,IHI CORPORATION,Japan
JP3166000004,EBARA CORPORATION,Japan
JP3651210001,NABTESCO CORPORATION,Japan
JP3224200000,"KAWASAKI HEAVY INDUSTRIES, LIMITED",Japan
CH0038388911,SULZER AG,Switzerland
JP3122800000,AMADA HOLDINGS CO LTD,Japan
JP3862400003,MAKITA CORPORATION,Japan
JP3274400005,GLORY LIMITED,Japan
TW0008464009,NIEN MADE ENTERPRISE CO LTD,Taiwan
DE0005176903,SURTECO GROUP SE,Germany
KR7009240003,"Hanssem Co., Ltd.",South Korea
KYG9828G1082,XINYI GLASS HOLDINGS LIMITED,Hong Kong
MX01NE000001,NEMAK SAB DE CV,Mexico
KYG2114R1103,China First Capital Group Limited,Hong Kong
KYG6145U1094,MINTH GROUP LIMITED,China
IT0005252728,FRENI BREMBO SPA,Italy
GB00BYQB9V88,TI Fluid Systems plc,United Kingdom
US0240611030,"AMERICAN AXLE & MFG HOLDINGS, INC.",United States
KR7004490009,SEBANG GLOBAL BATTERY CO LTD,South Korea
ES0105630315,CIE AUTOMOTIVE SA,Spain
US21676P1030,Cooper-Standard Holdings Inc.,United States
JP3164800009,NOK CORPORATION,Japan
KYG2112D1051,CHINA HIGH SPEED TRANSMISSION EQUIPMENT GROUP CO LTD,Hong Kong
JP3399400005,"STANLEY ELECTRIC CO, LTD.",Japan
JP3961400003,YOROZU CORPORATION,Japan
IT0000076536,SOGEFI SPA,Italy
DE000SHA0159,SCHAEFFLER AG,Germany
JP3677600003,NISSIN ELECTRIC CO LTD,Japan
JP3738600000,NGK SPARK PLUG CO LTD,Japan
KYG6501M1050,Nexteer Automotive Group Limited,United States
JP3634200004,TOYODA GOSEI CO LTD,Japan
ES0105223004,GESTAMP AUTOMOCION SA,Spain
US3719011096,GENTEX CORPORATION,United States
CA5592224011,MAGNA INTERNATIONAL INC,Canada
JP3407400005,SUMITOMO ELECTRIC INDUSTRIES LIMITED,Japan
JP3634600005,TOYOTA INDUSTRIES CORPORATION,Japan
US0528001094,"AUTOLIV, INC.",Sweden
FR0000124570,COMPAGNIE PLASTIC OMNIUM,France
JP3742600004,NHK SPRING CO LTD,Japan
CNE100000D55,Shanghai Electric Group Company Limited,China
KR7018880005,HANON SYSTEMS,South Korea
FR0000121147,FAURECIA SE,France
JP3102000001,AISIN SEIKI CO LTD,Japan
DE0005408884,LEONI AG,Germany
JP3266400005,KUBOTA CORPORATION,Japan
JP3551500006,DENSO CORPORATION,Japan
JP3902400005,MITSUBISHI ELECTRIC CORPORATION,Japan
JP3566600007,TOKAI RIKA CO. LTD.,Japan
US5218652049,LEAR CORPORATION,United States
JP3139600005,ISEKI & CO LTD,Japan
JP3635400009,TOYOTA BOSHOKU CORPORATION,Japan
KR7204320006,MANDO CORP,South Korea
SE0007691613,DOMETIC GROUP AB (PUBL),Sweden
US2358252052,DANA INC,United States
JP3284600008,KOITO MANUFACTURING CO LTD,Japan
CNE100000PW7,SICHUAN KELUN PHARMACEUTICAL COMPANY LIMITED,China
MYL7113OO003,TOP GLOVE CORPORATION BERHAD,Malaysia
INE700A01033,JUBILANT LIFE SCIENCES LIMITED,India
TW0008105008,GIANTPLUS TECHNOLOGY CO LTD,Taiwan
CNE000001816,JOINCARE PHARMACEUTICAL GROUP INDUSTRY COMPANY LIMITED,China
CNE0000002Y8,LIVZON PHARMACEUTICAL GROUP INCORPORATED,China
TW0001762003,"Chunghwa Chemical Synthesis & Biotech Co., Ltd.",Taiwan
KYG2110P1000,CHINA SHINEWAY PHARMACEUTICAL GROUP LIMITED,China
CNE100000BJ4,"Zhejiang Dahua Technology Co., Ltd.",China
BMG8162K1137,SIHUAN PHARMACEUTICAL HOLDINGS GROUP LTD,China
INE089A01023,DR.REDDY'S LABORATORIES LTD,India
CNE000000X38,SHANGHAI FOSUN PHARMACEUTICAL (GROUP) COMPANY LIMITED,China
TW0001789006,SCINOPHARM TAIWAN LIMITED,Taiwan
HK1093012172,CSPC PHARMACEUTICAL GROUP LTD,China
CNE100000585,Tong Ren Tang Technologies Co. Ltd.,China
KR7128940004,"HANMI PHARMACEUTICAL., COMPANY LIMITED",South Korea
CNE100000171,SHANDONG WEIGAO GROUP MEDICAL POLYMER COMPANY LTD,China
JP3837800006,HOYA CORPORATION,Japan
JP3535800001,TSUMURA & CO,Japan
TW0001720001,STANDARD CHEM. & PHARM. CO LTD,Taiwan
JP3188220002,OTSUKA HOLDINGS COMPANY LIMITED,Japan
JP3352400000,CITIZEN WATCH CO LTD,Japan
JP3788600009,HITACHI LIMITED,Japan
JP3546800008,TERUMO CORPORATION,Japan
IT0003828271,RECORDATI SPA,Italy
DE0007251803,STADA Arzneimittel Aktiengesellschaft,Germany
KYG211081248,CHINA MEDICAL SYSTEM HOLDINGS LIMITED,China
JP3160400002,EISAI COMPANY LIMITED,Japan
JP3475350009,DAIICHI SANKYO COMPANY LIMITED,Japan
JP3347200002,SHIONOGI & CO LTD,Japan
JP3469000008,MITSUBISHI TANABE PHARMA CORP,Japan
CNE100000387,GUANGZHOU BAIYUNSHAN PHARMCEUTICAL HOLDINGS CO LTD,China
JP3955000009,YOKOGAWA ELECTRIC CORPORATION,Japan
CNE1000021L3,CHINA RAILWAY SIGNAL & COMMUNICATION CO LTD,China
JP3442850008,TAISHO PHARMACEUTICAL HOLDINGS CO LTD,Japan
DE0007165607,SARTORIUS AG,Germany
JP3463000004,TAKEDA PHARMACEUTICAL COMPANY LIMITED,Japan
JP3194000000,OKI ELECTRIC INDUSTRY COMPANY LIMITED,Japan
IT0003492391,DIASORIN S.P.A.,Italy
JP3519400000,CHUGAI PHARMACEUTICAL CO LTD,Japan
JP3942400007,ASTELLAS PHARMA INCORPORATED,Japan
JP3336000009,SANTEN PHARMACEUTICAL COMPANY LIMITED,Japan
JP3357200009,SHIMADZU CORPORATION,Japan
BRFLRYACNOR5,FLEURY SA,Brazil
JP3201200007,OLYMPUS CORPORATION,Japan
US4657411066,"ITRON, INC.",United States
JP3197600004,ONO PHARMACEUTICAL CO LTD,Japan
JP3351100007,SYSMEX CORPORATION,Japan
JP3678800008,HITACHI HIGH-TECHNOLOGIES CORP,Japan
CNE100000312,DONGFENG MOTOR GROUP COMPANY LIMITED,China
CNE100000338,GREAT WALL MOTOR COMPANY LIMITED,China
CNE100000Q35,GUANGZHOU AUTOMOBILE GROUP COMPANY LIMITED,China
CNE100000CP9,CRRC CORP LTD,China
KYG781631059,SANY HEAVY EQUIPMENT INTERNATIONAL HOLDINGS COMPANY LTD,China
HK3808041546,SINOTRUK (HONG KONG) LIMITED,China
KYG3777B1032,GEELY AUTOMOBILE HOLDINGS LIMITED,Hong Kong
SE0000105199,HALDEX AB,Sweden
CNE100001TJ4,BAIC MOTOR CORP LTD,China
KR7042660001,DAEWOO SHIPBUILDING & MARINE ENGINEERING COMPANY LIMITED,South Korea
KR7010140002,SAMSUNG HEAVY INDUSTRIES COMPANY LIMITED,South Korea
DE0007667107,VOSSLOH AG,Germany
IT0003073266,PIAGGIO NC SPA,Italy
TW0002206000,SANYANG INDUSTRY COMPANY LIMITED,Taiwan
JP3854600008,"HONDA MOTOR CO., LTD.",Japan
KR7009540006,KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO LTD,South Korea
CNE000001527,"Zoomlion Heavy Industry Science and Technology Co., Ltd.",China
KR7003620002,SSANGYONG MOTOR COMPANY LIMITED,South Korea
CA62910L1022,NFI GROUP INC,Canada
JP3397200001,SUZUKI MOTOR CORPORATION,Japan
JP3672400003,NISSAN MOTOR CO LTD,Japan
KR7005380001,HYUNDAI MOTOR CO,South Korea
JP3899800001,MITSUBISHI MOTORS CORPORATION,Japan
JP3633400001,TOYOTA MOTOR CORPORATION,Japan
FR0000121501,PEUGEOT S.A.,France
JP3868400007,MAZDA MOTOR CORPORATION,Japan
DE000KGX8881,KION GROUP AG,Germany
KR7042670000,DOOSAN INFRACORE COMPANY LIMITED,South Korea
AT0000758305,PALFINGER AKTIENGESELLSCHAFT,Austria
DE000WACK012,WACKER NEUSON SE,Germany
CA9609083097,WESTPORT FUEL SYSTEMS INC,Canada
JP3814800003,SUBARU CORP,Japan
KYG521051063,JU TENG INTERNATIONAL HOLDINGS LTD,Hong Kong
TW0002323003,CMC MAGNETICS CORPORATION,Taiwan
KYG2953R1149,AAC TECHNOLOGIES HOLDINGS INCORPORATION,China
TW0003005005,GETAC TECHNOLOGY CORP,Taiwan
TW0001558005,"ZENG HSING INDUSTRIAL CO., LTD.",Taiwan
IT0001042610,Sabaf S.p.A.,Italy
KR7005930003,SAMSUNG ELECTRONICS COMPANY LIMITED,South Korea
KYG3323L1005,FABRINET,Thailand
BMG9737M1055,Wong's Kong King International (Holdings) Limited,Hong Kong
BMG9738G1078,WONG'S INTERNATIONAL HOLDINGS LIMITED,Hong Kong
FR0000121709,SEB SA,France
JP3414750004,SEIKO EPSON,Japan
TW0002317005,HON HAI PRECISION INDUSTRY COMPANY LIMITED,Taiwan
CNE100000353,"Hisense Home Appliances Group Co., Ltd.",China
TW0002301009,LITE-ON TECHNOLOGY CORPORATION,Taiwan
TW0003706008,MITAC HOLDINGS CORP,Taiwan
JP3818400008,FUJITSU GENERAL LIMITED,Japan
JP3300600008,KONICA MINOLTA INC,Japan
JP3977400005,RINNAI CORPORATION,Japan
TW0004915004,PRIMAX ELECTRONICS LTD.,Taiwan
US4663131039,JABIL INC,United States
JP3242800005,CANON INCORPORATED,Japan
SG9999000020,FLEX LTD,United States
TW0002385002,CHICONY ELECTRONICS COMPANY LIMITED,Taiwan
CA15101Q1081,CELESTICA INCORPORATED,Canada
TW0002331006,ELITEGROUP COMPUTER SYSTEMS COMPANY LIMITED,Taiwan
JP3830000000,BROTHER INDUSTRIES LIMITED,Japan
JP3973400009,"RICOH COMPANY, LTD",Japan
TW0002382009,QUANTA COMPUTER INCORPORATED,Taiwan
TW0002377009,MICRO-STAR INTERNATIONAL COMPANY LIMITED,Taiwan
TW0002352002,QISDA CORP,Taiwan
SE0001662230,HUSQVARNA,Sweden
TW0003231007,WISTRON,Taiwan
TW0002439007,MERRY ELECTRONICS CO LTD,Taiwan
TW0002376001,GIGA-BYTE TECHNOLOGY COMPANY LIMITED,Taiwan
TW0004938006,PEGATRON CORPORATION,Taiwan
JP3733000008,NEC CORPORATION,Japan
TW0002324001,COMPAL ELECTRONICS INCORPORATED,Taiwan
TW0002356003,INVENTEC CORPORATION,Taiwan
JP3651080008,EIZO Corporation,Japan
HK0992009065,LENOVO GROUP LIMITED,China
KR7021240007,WOONGJIN COWAY CO LTD,South Korea
DE0007235301,SGL CARBON SE,Germany
JP3690400001,NIPPON CARBON CO LTD,Japan
TW0003152005,ADVANCED CERAMIC X CORPORATION,Taiwan
FR0000039620,MERSEN SA,France
TW0001609006,TA YA ELECTRIC WIRE CABLE CO LTDTA YA   ELECTRIC WIRE CABLE CO LTD,Taiwan
JP3827200001,FURUKAWA ELECTRIC CO LTD,Japan
JP3870000001,MABUCHI MOTOR CO LTD,Japan
US7587501039,REGAL BELOIT CORP,United States
JP3820000002,"FUJI ELECTRIC CO., LTD.",Japan
INE176B01034,HAVELLS INDIA LTD,India
JP3385820000,GS YUASA CORPORATION,Japan
JP3734800000,NIDEC CORPORATION,Japan
SG2E91982768,Global Invacom Group Limited,Singapore
KYG114741062,BIZLINK HOLDING INC,United States
KR7010120004,LS INDUSTRIAL SYSTEMS COMPANY LIMITED,South Korea
FR0000044448,NEXANS SA,France
BRWEGEACNOR0,WEG S.A.,Brazil
TW0006409006,VOLTRONIC POWER TECHNOLOGY CORP,Taiwan
TW0001504009,TECO ELECTRIC MACHINERY CO LTD,Taiwan
CNE000000TK5,ZTE Corporation,China
KR7001440007,TAIHAN ELECTRIC WIRE COMPANY LIMITED,South Korea
JP3156400008,USHIO INC,Japan
US20337X1090,COMMSCOPE HOLDING COMPANY INC,United States
JP3323200000,"Sawafuji Electric Co., Ltd.",Japan
CH0030380734,HUBER+SUHNER AG,Switzerland
AT0000837307,ZUMTOBEL AG,Austria
KR7006260004,LS CORPORATION,South Korea
INE438A01022,APOLLO TYRES LIMITED,India
INE482A01020,CEAT Limited,India
US3825501014,GOODYEAR TIRE & RUBBER CO,United States
KR7161390000,HANKOOK TIRE & TECHNOLOGY CO LTD,South Korea
JP3610600003,TOYO TIRE CORP,Japan
IT0005278236,PIRELLI & C SPA,Italy
JP3830800003,BRIDGESTONE CORPORATION,Japan
JP3404200002,SUMITOMO RUBBER INDUSTRIES LTD,Japan
FI0009005318,NOKIAN TYRES PLC,Finland
JP3942600002,YAMAHA CORPORATION,Japan
US1170431092,Brunswick Corporation,United States
JP3419050004,"SEGA SAMMY HOLDINGS, INCORPORATED",Japan
KYG525741032,KINGDOM HOLDINGS LTD,China
TW0001460004,EVEREST TEXTILE COMPANY LIMITED,Taiwan
TW0001455004,ZIG SHENG INDUSTRIAL COMPANY LIMITED,Taiwan
TW0001434009,FORMOSA TAFFETA COMPANY LIMITED,Taiwan
TW0001440006,TAINAN SPINNING COMPANY LIMITED,Taiwan
GB00B4YZN328,COATS GROUP PLC,United Kingdom
TW0001476000,ECLAT TEXTILE COMPANY LIMITED,Taiwan
INE154A01025,ITC LTD,India
KYG748071019,REGINA MIRACLE INTERNATIONAL (HOLDINGS) LTD,Hong Kong
CA3759161035,GILDAN ACTIVEWEAR INC.,Canada
TW0009910000,FENG TAY ENTERPRISES COMPANY LIMITED,Taiwan
TW0009904003,POU CHEN CORPORATION,Taiwan
IT0003007728,TOD'S SPA,Italy
SA000A0KFKK0,SAHARA INTERNATIONAL PETROCHEMICAL CO SJSC,Saudi Arabia
GB00BJT16S69,Tronox Holdings plc,United States
TW0001314003,CHINA PETROCHEMICAL DEVELOPMENT CORPORATION,Taiwan
KR7006380000,CAPRO CORPORATION,South Korea
KR7093370005,FOOSUNG CO LTD,South Korea
TW0001724003,"T.N.C. Industrial Co., Ltd.",Taiwan
TW0001305001,CHINA GENERAL PLASTICS CORPORATION,Taiwan
JP3595200001,TOSOH CORPORATION,Japan
BRBRKMACNPA4,Braskem S.A.,Brazil
US1270551013,CABOT CORPORATION,United States
KR7006650006,KOREA PETRO CHEMICAL IND CO LTD,South Korea
AT0000644505,LENZING AG,Austria
AU000000ORI1,ORICA LIMITED,Australia
JP3269600007,KURARAY CO LTD,Japan
KR7285130001,SK CHEMICALS CO LTD,South Korea
KR7051910008,LG CHEM LIMITED,South Korea
JP3549600009,DENKA CO LTD,Japan
MX01AL0C0004,ALPEK SA DE CV,Mexico
JP3888300005,MITSUI CHEMICALS INCORPORATED,Japan
JP3619800000,TOYOBO CO LTD,Japan
JP3215800008,KANEKA CORPORATION,Japan
LU1057788488,TRINSEO S.A.,United States
JP3621000003,"TORAY INDUSTRIES, INC.",Japan
MX01OR010004,"Orbia Advance Corporation, S.A.B. de C.V.",Mexico
JP3725400000,ZEON CORPORATION,Japan
JP3111200006,ASAHI KASEI CORPORATION,Japan
JP3544000007,TEIJIN LTD,Japan
INE531A01024,KANSAI NEROLAC PAINTS LIMITED,India
PHY7628G1124,Semirara Mining and Power Corporation,Philippines
CNE000000SK7,INNER MONGOLIA YITAI COAL COMPANY LIMITED,China
CNE1000004Q8,YANZHOU COAL MINING COMPANY,China
AU000000NCM7,NEWCREST MINING LIMITED,Australia
BH0006000044,Aluminium Bahrain B.S.C.,Bahrain
ZAE000058723,DRDGOLD LIMITED,South Africa
CNE1000001T8,ALUMINUM CORPORATION OF CHINA LIMITED,China
INE038A01020,HINDALCO INDUSTRIES LIMITED,India
US0138721065,Alcoa Corporation,United States
ROALROACNOR0,ALRO SA,Romania
AU000000RRL8,REGIS RESOURCES LIMITED,Australia
GB0004300496,PAN AFRICAN RESOURCES PLC,United Kingdom
AU000000RSG6,RESOLUTE MINING LIMITED,Australia
AU000000EVN4,EVOLUTION MINING LTD,Australia
MYL8869OO009,Press Metal Aluminium Holdings Berhad,Malaysia
RU000A0JNAA8,POLYUS PAO,Russia
CA6979001089,PAN AMERICAN SILVER CORPORATION,Canada
CA0679011084,BARRICK GOLD CORP,Canada
CA29258Y1034,ENDEAVOUR SILVER CORP,Canada
KYG215AT1023,CHINA ZHONGWANG HOLDINGS LIMITED,China
CA4969024047,KINROSS GOLD CORPORATION,Canada
AU000000NST8,NORTHERN STAR RESOURCES LTD,Australia
CA11777Q2099,B2Gold Corp.,Canada
CNE100000502,ZIJIN MINING GROUP COMPANY LIMITED,China
CA4509131088,IAMGOLD CORP,Canada
AU000000SBM8,ST BARBARA LIMITED,Australia
GB0031544546,PETROPAVLOVSK PLC,Russia
CA2652692096,DUNDEE PRECIOUS METALS INC.,Canada
CA6445351068,NEW GOLD INC,Canada
CA2849025093,ELDORADO GOLD CORPORATION,Canada
CA7847301032,SSR MINING INC,Canada
AU000000SAR9,SARACEN MINERAL HOLDINGS LIMITED,Australia
SE0006288015,GRANGES AB,Sweden
CA74139C1023,PRETIUM RESOURCES INC,Canada
CA0115321089,ALAMOS GOLD INC,Canada
NL0010558797,OCI NV,Netherlands
TW0001722007,TAIWAN FERTILIZER COMPANY LIMITED,Taiwan
CA67077M1086,Nutrien Ltd.,Canada
AU000000NUF3,NUFARM LIMITED,Australia
US0537741052,"AVIS BUDGET GROUP, INC.",United States
SG1N31909426,COMFORTDELGRO CORPORATION LTD,Singapore
GB00B6YTLS95,STAGECOACH GROUP PLC,United Kingdom
GB0003452173,FIRSTGROUP PLC,United Kingdom
GB0006215205,NATIONAL EXPRESS GROUP PLC,United Kingdom
ID1000108103,PT Jasa Marga (Persero) Tbk,Indonesia
TW0002633005,TAIWAN HIGH SPEED RAIL CORPORATION,Taiwan
AU000000TCL6,TRANSURBAN GROUP,Australia
JP3729400006,NIPPON EXPRESS CO LIMITED,Japan
FR0010533075,GETLINK SE,France
GB00B41H7391,NORTHGATE PLC,United Kingdom
FR0012789949,EUROPCAR MOBILITY GROUP SA,France
KYG190211071,CAR INC,China
GB00BK1PTB77,AGGREKO PLC,United Kingdom
INE053A01029,INDIAN HOTELS COMPANY LTD,India
SG1T49930665,BANYAN TREE HOLDINGS LTD,Singapore
LK0003N00000,Aitken Spence Hotel Holdings PLC,Sri Lanka
ZAE000117792,CITY LODGE HOTELS LTD,South Africa
